NAME,POPULATION,CITY,STATE,COUNTY,COUNTYFIPS,INST_SIZE,TOT_ENROLL,TOT_EMP
THE NEW ENGLAND CONSERVATORY OF MUSIC,1438,BOSTON,MA,SUFFOLK,25025,1,843,595
VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY,2014,FLUSHING,NY,QUEENS,36081,2,1634,380
SWEDISH INSTITUTE A COLLEGE OF HEALTH SCIENCES,893,NEW YORK,NY,NEW YORK,36061,1,678,215
UNIVERSITY OF MINNESOTA-MORRIS,1911,MORRIS,MN,STEVENS,27149,2,1499,412
UNIVERSITY OF MAINE AT FORT KENT,1760,FORT KENT,ME,AROOSTOOK,23003,2,1589,171
WARREN WILSON COLLEGE,1030,SWANNANOA,NC,BUNCOMBE,37021,1,791,239
UNIVERSITY OF MARY,4383,BISMARCK,ND,BURLEIGH,38015,2,3779,604
MAYVILLE STATE UNIVERSITY,1430,MAYVILLE,ND,TRAILL,38097,2,1212,218
WEST VIRGINIA WESLEYAN COLLEGE,1546,BUCKHANNON,WV,UPSHUR,54097,2,1226,320
UNIVERSITY OF SOUTH FLORIDA-MAIN CAMPUS,52693,TAMPA,FL,HILLSBOROUGH,12057,5,44246,8447
MOUNT ST. MARY'S UNIVERSITY,2912,EMMITSBURG,MD,FREDERICK,24021,2,2362,550
UNIVERSITY OF ST. AUGUSTINE FOR HEALTH SCIENCES,5328,SAN MARCOS,CA,SAN DIEGO,06073,2,4353,975
UNIVERSITY OF MISSOURI-ST LOUIS,17942,SAINT LOUIS,MO,ST. LOUIS,29189,4,15988,1954
CUNY GRADUATE SCHOOL AND UNIVERSITY CENTER,10256,NEW YORK,NY,NEW YORK,36061,3,8503,1753
BORICUA COLLEGE,936,NEW YORK,NY,NEW YORK,36061,1,753,183
SAM HOUSTON STATE UNIVERSITY,24006,HUNTSVILLE,TX,WALKER,48471,5,21558,2448
WILLIAM PEACE UNIVERSITY,1129,RALEIGH,NC,WAKE,37183,1,889,240
YESHIVA GEDOLA OHR YISRAEL,57,BROOKLYN,NY,KINGS,36047,1,46,11
UNIVERSITY OF NEVADA-LAS VEGAS,36566,LAS VEGAS,NV,CLARK,32003,5,31171,5395
