NAME,POPULATION,CITY,STATE,COUNTY,COUNTYFIPS,INST_SIZE,TOT_ENROLL,TOT_EMP
PACE UNIVERSITY,16714,NEW YORK,NY,NEW YORK,36061,4,13395,3319
VIRGINIA COMMONWEALTH UNIVERSITY,37247,RICHMOND,VA,RICHMOND (CITY),51760,5,29757,7490
UNIVERSITY OF KENTUCKY,41897,LEXINGTON,KY,FAYETTE,21067,5,29402,12495
VASSAR COLLEGE,3600,POUGHKEEPSIE,NY,DUTCHESS,36027,2,2439,1161
UNIVERSITY OF THE DISTRICT OF COLUMBIA,5357,WASHINGTON,DC,DISTRICT OF COLUMBIA,11001,2,4199,1158
CLEAR CREEK BAPTIST BIBLE COLLEGE,163,PINEVILLE,KY,BELL,21013,1,123,40
ALLEGHENY WESLEYAN COLLEGE,107,SALEM,OH,COLUMBIANA,39029,1,68,39
BELOIT COLLEGE,1461,BELOIT,WI,ROCK,55105,2,1143,318
UNIVERSITY OF SOUTH FLORIDA-ST PETERSBURG,5063,ST. PETERSBURG,FL,PINELLAS,12103,2,4448,615
SWEET BRIAR COLLEGE,568,SWEET BRIAR,VA,AMHERST,51009,1,354,214
TOWSON UNIVERSITY,26074,TOWSON,MD,BALTIMORE,24005,5,22709,3365
COLBY-SAWYER COLLEGE,1170,NEW LONDON,NH,MERRIMACK,33013,1,855,315
ALLEN COLLEGE,774,WATERLOO,IA,BLACK HAWK,19013,1,656,118
WABASH COLLEGE,1155,CRAWFORDSVILLE,IN,MONTGOMERY,18107,1,867,288
WELLESLEY COLLEGE,3757,WELLESLEY,MA,NORFOLK,25021,2,2519,1238
CITY VISION UNIVERSITY,111,KANSAS CITY,MO,JACKSON,29095,1,83,28
FAITH THEOLOGICAL SEMINARY,145,BALTIMORE,MD,BALTIMORE (CITY),24510,1,121,24
THE COLLEGE OF HEALTH CARE PROFESSIONS-FORT WORTH,564,FORT WORTH,TX,TARRANT,48439,1,508,56
UNIVERSITY OF SOUTH DAKOTA,11588,VERMILLION,SD,CLAY,46027,3,9920,1668
CASTLETON UNIVERSITY,2788,CASTLETON,VT,RUTLAND,50021,2,2399,389
CENTRAL GEORGIA TECHNICAL COLLEGE,9222,WARNER ROBINS,GA,HOUSTON,13153,3,8244,978
BETHEL UNIVERSITY,4935,SAINT PAUL,MN,RAMSEY,27123,2,4005,930
ERSKINE COLLEGE,1068,DUE WEST,SC,ABBEVILLE,45001,1,912,156
ANDERSON UNIVERSITY,4323,ANDERSON,SC,ANDERSON,45007,2,3543,780
MAHARISHI UNIVERSITY OF MANAGEMENT,2300,FAIRFIELD,IA,JEFFERSON,19101,2,1861,439
PRESIDIO GRADUATE SCHOOL,171,SAN FRANCISCO,CA,SAN FRANCISCO,06075,1,120,51
MARIETTA COLLEGE,1638,MARIETTA,OH,WASHINGTON,39167,2,1217,421
PAUL QUINN COLLEGE,650,DALLAS,TX,DALLAS,48113,1,554,96
SAINT CHARLES BORROMEO SEMINARY-OVERBROOK,280,WYNNEWOOD,PA,MONTGOMERY,42091,1,192,88
NORTHERN ARIZONA UNIVERSITY,34619,FLAGSTAFF,AZ,COCONINO,04005,5,30733,3886
LOURDES UNIVERSITY,1816,SYLVANIA,OH,LUCAS,39095,2,1547,269
SALVE REGINA UNIVERSITY,3358,NEWPORT,RI,NEWPORT,44005,2,2771,587
UNIVERSITY OF HOUSTON-CLEAR LAKE,10076,HOUSTON,TX,HARRIS,48201,3,9082,994
MALONE UNIVERSITY,1866,CANTON,OH,STARK,39151,2,1524,342
THE UNIVERSITY OF TEXAS MD ANDERSON CANCER CENTER,425,HOUSTON,TX,HARRIS,48201,1,376,49
UNIVERSITY OF LOUISVILLE,28832,LOUISVILLE,KY,JEFFERSON,21111,5,21670,7162
UNIVERSITY OF CALIFORNIA-LOS ANGELES,70603,LOS ANGELES,CA,LOS ANGELES,06037,5,44371,26232
VIRGINIA UNION UNIVERSITY,1813,RICHMOND,VA,RICHMOND (CITY),51760,2,1451,362
INDIANA INSTITUTE OF TECHNOLOGY,3015,FORT WAYNE,IN,ALLEN,18003,2,2223,792
BOSTON ARCHITECTURAL COLLEGE,1060,BOSTON,MA,SUFFOLK,25025,1,737,323
SACRED HEART MAJOR SEMINARY,535,DETROIT,MI,WAYNE,26163,1,450,85
CHIEF DULL KNIFE COLLEGE,210,LAME DEER,MT,ROSEBUD,30087,1,162,48
ANTIOCH UNIVERSITY-LOS ANGELES,1000,CULVER CITY,CA,LOS ANGELES,06037,1,792,208
SOUTHERN TECHNICAL COLLEGE,1124,FORT MYERS,FL,LEE,12071,1,950,174
YESHIVA OF THE TELSHE ALUMNI,93,RIVERDALE,NY,BRONX,36005,1,74,19
DONNELLY COLLEGE,377,KANSAS CITY,KS,WYANDOTTE,20209,1,303,74
ST. JOSEPH'S COLLEGE-NEW YORK,1517,BROOKLYN,NY,KINGS,36047,2,1185,332
LONG ISLAND UNIVERSITY,17540,BROOKVILLE,NY,"NASSAU",36059,4,15546,1994
GENEVA COLLEGE,1830,BEAVER FALLS,PA,BEAVER,42007,2,1432,398
PRESBYTERIAN COLLEGE,1704,CLINTON,SC,LAURENS,45059,2,1353,351
MARANATHA BAPTIST UNIVERSITY,1182,WATERTOWN,WI,JEFFERSON,55055,1,985,197
TALMUDICAL ACADEMY-NEW JERSEY,74,ADELPHIA,NJ,MONMOUTH,34025,1,60,14
GUILFORD COLLEGE,1975,GREENSBORO,NC,GUILFORD,37081,2,1536,439
UNIVERSITY OF MOUNT OLIVE,3210,MOUNT OLIVE,NC,WAYNE,37191,2,2805,405
UNIVERSITY OF MONTEVALLO,3138,MONTEVALLO,AL,SHELBY,01117,2,2553,585
UNIVERSITY OF ALASKA SOUTHEAST,2537,JUNEAU,AK,JUNEAU (CITY),02110,2,2150,387
COLLEGE OF THE HOLY CROSS,4156,WORCESTER,MA,WORCESTER,25027,2,2963,1193
ROCKHURST UNIVERSITY,3472,KANSAS CITY,MO,JACKSON,29095,2,2990,482
DAEMEN COLLEGE,3163,AMHERST,NY,ERIE,36029,2,2603,560
RHODE ISLAND SCHOOL OF DESIGN,3652,PROVIDENCE,RI,PROVIDENCE,44007,2,2501,1151
UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,67402,SEATTLE,WA,KING,53033,5,47576,19826
WISCONSIN LUTHERAN COLLEGE,1376,MILWAUKEE,WI,MILWAUKEE,55079,2,1148,228
WEST COAST UNIVERSITY-LOS ANGELES,2510,NORTH HOLLYWOOD,CA,LOS ANGELES,06037,2,2215,295
NORTHWESTERN OKLAHOMA STATE UNIVERSITY,2299,ALVA,OK,WOODS,40151,2,1970,329
CLARION UNIVERSITY OF PENNSYLVANIA,5424,CLARION,PA,CLARION,42031,2,4700,724
RABBINICAL COLLEGE TELSHE,78,WICKLIFFE,OH,LAKE,39085,1,54,24
TRINITY UNIVERSITY,3520,SAN ANTONIO,TX,BEXAR,48029,2,2606,914
RICE UNIVERSITY,10763,HOUSTON,TX,HARRIS,48201,3,7282,3481
UNIVERSITY OF NOTRE DAME,19044,NOTRE DAME,IN,ST. JOSEPH,18141,4,12683,6361
ROSE-HULMAN INSTITUTE OF TECHNOLOGY,2622,TERRE HAUTE,IN,VIGO,18167,2,2038,584
OTTERBEIN UNIVERSITY,3515,WESTERVILLE,OH,FRANKLIN,39049,2,2853,662
UNIVERSITY OF WASHINGTON-BOTHELL CAMPUS,6651,BOTHELL,WA,KING,53033,3,5913,738
DENVER SEMINARY,985,LITTLETON,CO,ARAPAHOE,08005,1,848,137
WESTERN UNIVERSITY OF HEALTH SCIENCES,5118,POMONA,CA,LOS ANGELES,06037,2,3792,1326
MOUNT MERCY UNIVERSITY,2157,CEDAR RAPIDS,IA,LINN,19113,2,1807,350
ILLINOIS STATE UNIVERSITY,24406,NORMAL,IL,MCLEAN,17113,5,20878,3528
GRAMBLING STATE UNIVERSITY,5780,GRAMBLING,LA,LINCOLN,22061,3,5232,548
KENRICK GLENNON SEMINARY,148,SAINT LOUIS,MO,ST. LOUIS,29189,1,85,63
AMERICAN JEWISH UNIVERSITY,225,LOS ANGELES,CA,LOS ANGELES,06037,1,108,117
VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,2578,COSTA MESA,CA,ORANGE,06059,2,2175,403
UNIVERSITY OF NORTHERN COLORADO,14647,GREELEY,CO,WELD,08123,4,12930,1717
SEATTLE PACIFIC UNIVERSITY,4403,SEATTLE,WA,KING,53033,2,3529,874
FRESNO PACIFIC UNIVERSITY,5299,FRESNO,CA,FRESNO,06019,2,4300,999
REFORMED PRESBYTERIAN THEOLOGICAL SEMINARY,145,PITTSBURGH,PA,ALLEGHENY,42003,1,114,31
NEW COLLEGE OF FLORIDA,1062,SARASOTA,FL,SARASOTA,12115,1,726,336
LINFIELD COLLEGE-ONLINE AND CONTINUING EDUCATION,238,MCMINNVILLE,OR,YAMHILL,41071,1,238,-999
YESHIVAS BE'ER YITZCHOK,70,ELIZABETH,NJ,UNION,34039,1,62,8
DEWEY UNIVERSITY-HATO REY,606,HATO REY,PR,SAN JUAN,72127,1,536,70
PARDEE RAND GRADUATE SCHOOL,125,SANTA MONICA,CA,LOS ANGELES,06037,1,108,17
POPE ST JOHN XXIII NATIONAL SEMINARY,101,WESTON,MA,MIDDLESEX,25017,1,53,48
SOUTHWEST MINNESOTA STATE UNIVERSITY,7488,MARSHALL,MN,LYON,27083,3,7058,430
STEPHENS COLLEGE,927,COLUMBIA,MO,BOONE,29019,1,652,275
SOUTHERN CALIFORNIA INSTITUTE OF ARCHITECTURE,638,LOS ANGELES,CA,LOS ANGELES,06037,1,497,141
MIDDLEBURY INSTITUTE OF INTERNATIONAL STUDIES AT MONTEREY,899,MONTEREY,CA,MONTEREY,06053,1,688,211
MESIVTHA TIFERETH JERUSALEM OF AMERICA,75,NEW YORK,NY,NEW YORK,36061,1,63,12
SAINT PAUL SCHOOL OF THEOLOGY,148,LEAWOOD,KS,JOHNSON,20091,1,101,47
SAN DIEGO GLOBAL KNOWLEDGE UNIVERSITY,93,SAN DIEGO,CA,SAN DIEGO,06073,1,80,13
GLASGOW CALEDONIAN NEW YORK COLLEGE,87,NEW YORK,NY,NEW YORK,36061,1,65,22
AIR FORCE INSTITUTE OF TECHNOLOGY-GRADUATE SCHOOL OF ENGINEERING & MANAGEMENT,995,WRIGHT-PATTERSON AFB,OH,GREENE,39057,1,995,-999
SOUTHERN CALIFORNIA INSTITUTE OF TECHNOLOGY,680,ANAHEIM,CA,ORANGE,06059,1,607,73
AMERICAN PUBLIC UNIVERSITY SYSTEM,47646,CHARLES TOWN,WV,JEFFERSON,54037,5,45249,2397
NEW YORK FILM ACADEMY,3069,BURBANK,CA,LOS ANGELES,06037,2,1892,1177
YESHIVA ZICHRON ARYEH,40,FAR ROCKAWAY,NY,QUEENS,36081,1,27,13
SAVANNAH COLLEGE OF ART AND DESIGN,16686,SAVANNAH,GA,CHATHAM,13051,4,14840,1846
AOMA GRADUATE SCHOOL OF INTEGRATIVE MEDICINE,214,AUSTIN,TX,TRAVIS,48453,1,140,74
SOUTHERN VIRGINIA UNIVERSITY,1366,BUENA VISTA,VA,BUENA VISTA (CITY),51530,2,1111,255
CUNY HUNTER COLLEGE,27131,NEW YORK,NY,NEW YORK,36061,5,23193,3938
UNIVERSITY OF MARYLAND-COLLEGE PARK,51057,COLLEGE PARK,MD,PRINCE GEORGE'S,24033,5,40743,10314
APPALACHIAN STATE UNIVERSITY,22620,BOONE,NC,WATAUGA,37189,4,19280,3340
THE GENERAL THEOLOGICAL SEMINARY,107,NEW YORK,NY,NEW YORK,36061,1,49,58
ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,1553,ALBANY,NY,ALBANY,36001,2,1240,313
WESTERN CAROLINA UNIVERSITY,13959,CULLOWHEE,NC,JACKSON,37099,4,12167,1792
WEST CHESTER UNIVERSITY OF PENNSYLVANIA,19655,WEST CHESTER,PA,CHESTER,42029,4,17669,1986
ANTIOCH UNIVERSITY-NEW ENGLAND,1027,KEENE,NH,CHESHIRE,33005,1,858,169
BARNARD COLLEGE,3610,NEW YORK,NY,NEW YORK,36061,2,2631,979
UNIVERSITY OF HAWAII AT HILO,3974,HILO,HI,HAWAII,15001,2,3372,602
ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE,762,DOTHAN,AL,HOUSTON,01069,1,660,102
WEST COAST UNIVERSITY-MIAMI,1188,DORAL,FL,MIAMI-DADE,12086,2,1010,178
ALBERTUS MAGNUS COLLEGE,1913,NEW HAVEN,CT,NEW HAVEN,09009,2,1419,494
BET MEDRASH GADOL ATERET TORAH,108,BROOKLYN,NY,KINGS,36047,1,90,18
STERLING COLLEGE,821,STERLING,KS,RICE,20159,1,653,168
CAROLINA COLLEGE OF BIBLICAL STUDIES,217,FAYETTEVILLE,NC,CUMBERLAND,37051,1,180,37
BRIDGEWATER STATE UNIVERSITY,12449,BRIDGEWATER,MA,PLYMOUTH,25023,4,10881,1568
SOUTHERN ILLINOIS UNIVERSITY-EDWARDSVILLE,15533,EDWARDSVILLE,IL,MADISON,17119,4,13061,2472
DEPAUW UNIVERSITY,2644,GREENCASTLE,IN,PUTNAM,18133,2,1972,672
MOUNT MARTY COLLEGE,1223,YANKTON,SD,YANKTON,46135,2,1049,174
TARLETON STATE UNIVERSITY,14507,STEPHENVILLE,TX,ERATH,48143,4,13166,1341
UNIVERSITY OF WISCONSIN-LA CROSSE,11973,LA CROSSE,WI,LA CROSSE,55063,4,10623,1350
FRIENDS UNIVERSITY,2225,WICHITA,KS,SEDGWICK,20173,2,1818,407
JOHN CARROLL UNIVERSITY,4279,UNIVERSITY HEIGHTS,OH,CUYAHOGA,39035,2,3506,773
CAREERS UNLIMITED,208,OREM,UT,UTAH,49049,1,179,29
SOUTHWEST UNIVERSITY OF VISUAL ARTS-TUCSON,109,TUCSON,AZ,PIMA,04019,1,93,16
WESTMINSTER COLLEGE,3067,SALT LAKE CITY,UT,SALT LAKE,49035,2,2215,852
UNIVERSITY OF ST FRANCIS,4352,JOLIET,IL,WILL,17197,2,3776,576
CHRISTIAN THEOLOGICAL SEMINARY,213,INDIANAPOLIS,IN,MARION,18097,1,145,68
SMITH COLLEGE,4325,NORTHAMPTON,MA,HAMPSHIRE,25015,2,2894,1431
EVANGEL UNIVERSITY,2740,SPRINGFIELD,MO,GREENE,29077,2,2300,440
BRYAN COLLEGE OF HEALTH SCIENCES,887,LINCOLN,NE,LANCASTER,31109,1,775,112
NEW MEXICO HIGHLANDS UNIVERSITY,3351,LAS VEGAS,NM,SAN MIGUEL,35047,2,2787,564
CAZENOVIA COLLEGE,1091,CAZENOVIA,NY,MADISON,36053,1,865,226
MONROE COLLEGE,7471,BRONX,NY,BRONX,36005,3,6517,954
INTER AMERICAN UNIVERSITY OF PUERTO RICO-AGUADILLA,4393,AGUADILLA,PR,AGUADILLA,72005,2,4003,390
JOHNSON & WALES UNIVERSITY-NORTH MIAMI,1504,NORTH MIAMI,FL,MIAMI-DADE,12086,2,1309,195
KNOX COLLEGE,1720,GALESBURG,IL,KNOX,17095,2,1258,462
MASSACHUSETTS COLLEGE OF LIBERAL ARTS,1954,NORTH ADAMS,MA,BERKSHIRE,25003,2,1507,447
KANSAS WESLEYAN UNIVERSITY,927,SALINA,KS,SALINE,20169,1,716,211
CHADRON STATE COLLEGE,2740,CHADRON,NE,DAWES,31045,2,2407,333
UNITED LUTHERAN SEMINARY,370,GETTYSBURG,PA,ADAMS,42001,1,308,62
LYCOMING COLLEGE,1491,WILLIAMSPORT,PA,LYCOMING,42081,2,1140,351
BOSTON BAPTIST COLLEGE,88,BOSTON,MA,SUFFOLK,25025,1,63,25
AUBURN UNIVERSITY AT MONTGOMERY,5982,MONTGOMERY,AL,MONTGOMERY,01101,3,5188,794
OAKWOOD UNIVERSITY,1875,HUNTSVILLE,AL,MADISON,01089,2,1526,349
SELMA UNIVERSITY,363,SELMA,AL,DALLAS,01047,1,323,40
ROLLINS COLLEGE,3850,WINTER PARK,FL,ORANGE,12095,2,3127,723
CREIGHTON UNIVERSITY,11166,OMAHA,NE,DOUGLAS,31055,3,8821,2345
UNIVERSITY OF WISCONSIN-WHITEWATER,13870,WHITEWATER,WI,WALWORTH,55127,4,12452,1418
PLATT COLLEGE-ONTARIO,663,ONTARIO,CA,SAN BERNARDINO,06071,1,572,91
UNITED STATES UNIVERSITY,1483,SAN DIEGO,CA,SAN DIEGO,06073,2,1243,240
NORTHEASTERN STATE UNIVERSITY,8512,TAHLEQUAH,OK,CHEROKEE,40021,3,7517,995
ST. MARY'S UNIVERSITY,4333,SAN ANTONIO,TX,BEXAR,48029,2,3513,820
UNIVERSITY OF WISCONSIN-MADISON,62961,MADISON,WI,DANE,55025,5,44257,18704
AUSTIN GRADUATE SCHOOL OF THEOLOGY,46,AUSTIN,TX,TRAVIS,48453,1,33,13
AMERICAN FILM INSTITUTE CONSERVATORY,757,LOS ANGELES,CA,LOS ANGELES,06037,1,334,423
CALIFORNIA STATE UNIVERSITY-FRESNO,26832,FRESNO,CA,FRESNO,06019,5,24298,2534
CHAPMAN UNIVERSITY,12017,ORANGE,CA,ORANGE,06059,3,9850,2167
TRINITY LAW SCHOOL,394,SANTA ANA,CA,ORANGE,06059,1,326,68
CALIFORNIA STATE UNIVERSITY-LONG BEACH,42677,LONG BEACH,CA,LOS ANGELES,06037,5,38674,4003
NEW YORK MEDICAL COLLEGE,2507,VALHALLA,NY,WESTCHESTER,36119,2,1543,964
WESTERN WASHINGTON UNIVERSITY,18343,BELLINGHAM,WA,WHATCOM,53073,4,16142,2201
UNIVERSITY OF REDLANDS,6199,REDLANDS,CA,SAN BERNARDINO,06071,2,4931,1268
COLORADO SCHOOL OF MINES,8016,GOLDEN,CO,JEFFERSON,08059,3,6628,1388
UNIVERSITY OF INDIANAPOLIS,6995,INDIANAPOLIS,IN,MARION,18097,3,5801,1194
ROCHESTER INSTITUTE OF TECHNOLOGY,20487,ROCHESTER,NY,MONROE,36055,4,16254,4233
CINCINNATI COLLEGE OF MORTUARY SCIENCE,103,CINCINNATI,OH,HAMILTON,39061,1,92,11
PHILLIPS THEOLOGICAL SEMINARY,199,TULSA,OK,TULSA,40143,1,160,39
CONCORDIA THEOLOGICAL SEMINARY,426,FORT WAYNE,IN,ALLEN,18003,1,313,113
BENEDICTINE COLLEGE,2543,ATCHISON,KS,ATCHISON,20005,2,2158,385
OAK HILLS CHRISTIAN COLLEGE,126,BEMIDJI,MN,BELTRAMI,27007,1,90,36
BREVARD COLLEGE,1034,BREVARD,NC,TRANSYLVANIA,37175,1,751,283
OTTAWA UNIVERSITY-KANSAS CITY,790,OVERLAND PARK,KS,JOHNSON,20091,1,546,244
PONCE HEALTH SCIENCES UNIVERSITY-ST LOUIS,25,ST. LOUIS,MO,ST. LOUIS,29510,1,11,14
PONCE HEALTH SCIENCES UNIVERSITY-EAST,563,PONCE,PR,PONCE,72113,1,563,-999
WESTERN MICHIGAN UNIVERSITY HOMER STRYKER M.D. SCHOOL OF MEDICINE,1223,KALAMAZOO,MI,KALAMAZOO,26077,1,331,892
SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,1632,WHITTIER,CA,LOS ANGELES,06037,2,1386,246
PALO ALTO UNIVERSITY,1283,PALO ALTO,CA,SANTA CLARA,06085,2,1075,208
STONE CHILD COLLEGE,420,BOX ELDER,MT,CHOUTEAU,30015,1,318,102
PACIFIC COLLEGE OF ORIENTAL MEDICINE-NEW YORK,795,NEW YORK,NY,NEW YORK,36061,1,658,137
WELCH COLLEGE,531,GALLATIN,TN,SUMNER,47165,1,426,105
WESTERN GOVERNORS UNIVERSITY,142643,SALT LAKE CITY,UT,SALT LAKE,49035,5,136139,6504
PONTIFICAL FACULTY OF THE IMMACULATE CONCEPTION AT THE DOMINICAN HOUSE OF STUDIES,125,WASHINGTON,DC,DISTRICT OF COLUMBIA,11001,1,84,41
UNIVERSITY OF PUERTO RICO-HUMACAO,3793,HUMACAO,PR,HUMACAO,72069,2,3218,575
OREGON HEALTH & SCIENCE UNIVERSITY,12750,PORTLAND,OR,MULTNOMAH,41051,2,3017,9733
WESTERN SEMINARY,906,PORTLAND,OR,MULTNOMAH,41051,1,753,153
VIRGINIA STATE UNIVERSITY,5562,PETERSBURG,VA,CHESTERFIELD,51041,2,4365,1197
VIRGINIA WESLEYAN UNIVERSITY,1819,VIRGINIA BEACH,VA,VIRGINIA BEACH (CITY),51810,2,1487,332
UNIVERSITY OF NORTH DAKOTA,16428,GRAND FORKS,ND,GRAND FORKS,38035,4,13581,2847
UNIVERSITY OF LOUISIANA AT LAFAYETTE,19096,LAFAYETTE,LA,LAFAYETTE,22055,4,16933,2163
UNIVERSITY OF MAINE AT FARMINGTON,2351,FARMINGTON,ME,FRANKLIN,23007,2,1930,421
UPSTATE MEDICAL UNIVERSITY,3282,SYRACUSE,NY,ONONDAGA,36067,2,1588,1694
AMERICAN COLLEGE OF ACUPUNCTURE AND ORIENTAL MED,138,HOUSTON,TX,HARRIS,48201,1,104,34
WEST COAST UNIVERSITY-ORANGE COUNTY,4353,ANAHEIM,CA,ORANGE,06059,2,3976,377
AMERICAN SENTINEL UNIVERSITY,2995,AURORA,CO,ARAPAHOE,08005,2,2724,271
SACRED HEART UNIVERSITY,10850,FAIRFIELD,CT,FAIRFIELD,09001,3,9156,1694
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,53077,NEW YORK,NY,NEW YORK,36061,5,31456,21621
CONNECTICUT COLLEGE,2678,NEW LONDON,CT,NEW LONDON,09011,2,1861,817
NEW YORK COLLEGE OF PODIATRIC MEDICINE,428,NEW YORK,NY,NEW YORK,36061,1,330,98
CHAMBERLAIN UNIVERSITY-INDIANA,250,INDIANAPOLIS,IN,MARION,18097,1,222,28
OHIO STATE UNIVERSITY-LIMA CAMPUS,1118,LIMA,OH,ALLEN,39003,1,982,136
TEXAS A&M UNIVERSITY-CENTRAL TEXAS,2815,KILLEEN,TX,BELL,48027,2,2440,375
STRAYER UNIVERSITY-VIRGINIA,5850,ARLINGTON,VA,ARLINGTON,51013,3,5606,244
CHAMBERLAIN UNIVERSITY-NEW JERSEY,933,NORTH BRUNSWICK,NJ,MIDDLESEX,34023,1,789,144
HIRAM COLLEGE,1545,HIRAM,OH,PORTAGE,39133,2,1284,261
METHODIST COLLEGE,846,PEORIA,IL,PEORIA,17143,1,700,146
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,16378,CARBONDALE,IL,JACKSON,17077,4,11695,4683
UNIVERSITY OF KANSAS,36470,LAWRENCE,KS,DOUGLAS,20045,5,27552,8918
THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT IRVINE,500,IRVINE,CA,ORANGE,06059,1,454,46
WESTERN ILLINOIS UNIVERSITY,8983,MACOMB,IL,MCDONOUGH,17109,3,7624,1359
MIDWESTERN STATE UNIVERSITY,6721,WICHITA FALLS,TX,WICHITA,48485,3,5969,752
MEDICAL UNIVERSITY OF SOUTH CAROLINA,6270,CHARLESTON,SC,CHARLESTON,45019,2,2971,3299
UNIVERSITY OF WEST GEORGIA,15056,CARROLLTON,GA,CARROLL,13045,4,13238,1818
DREXEL UNIVERSITY,29646,PHILADELPHIA,PA,PHILADELPHIA,42101,5,24205,5441
DAKOTA WESLEYAN UNIVERSITY,1102,MITCHELL,SD,DAVISON,46035,1,880,222
UNIVERSITY OF HOUSTON,51776,HOUSTON,TX,HARRIS,48201,5,46148,5628
SOUTH CAROLINA STATE UNIVERSITY,3087,ORANGEBURG,SC,ORANGEBURG,45075,2,2479,608
SOUTHERN WESLEYAN UNIVERSITY,1702,CENTRAL,SC,PICKENS,45077,2,1430,272
NOSSI COLLEGE OF ART,375,"NASHVILLE",TN,DAVIDSON,47037,1,309,66
HARDING UNIVERSITY,5913,SEARCY,AR,WHITE,05145,2,4879,1034
BRENAU UNIVERSITY,3340,GAINESVILLE,GA,HALL,13139,2,2817,523
GOLDEN GATE UNIVERSITY-SAN FRANCISCO,3031,SAN FRANCISCO,CA,SAN FRANCISCO,06075,2,2432,599
LUTHER RICE COLLEGE & SEMINARY,840,LITHONIA,GA,DEKALB,13089,1,782,58
LAWRENCE UNIVERSITY,1992,APPLETON,WI,OUTAGAMIE,55087,2,1442,550
HOBART WILLIAM SMITH COLLEGES,2737,GENEVA,NY,ONTARIO,36069,2,2070,667
INDIANA UNIVERSITY-SOUTH BEND,5780,SOUTH BEND,IN,ST. JOSEPH,18141,3,5092,688
DELTA STATE UNIVERSITY,4406,CLEVELAND,MS,BOLIVAR,28011,2,3751,655
CENTRAL METHODIST UNIVERSITY-COLLEGE OF LIBERAL ARTS AND SCIENCES,1425,FAYETTE,MO,HOWARD,29089,2,1145,280
BINGHAMTON UNIVERSITY,20961,VESTAL,NY,BROOME,36007,4,18124,2837
SUNY AT FREDONIA,5331,FREDONIA,NY,CHAUTAUQUA,36013,2,4446,885
EXCELSIOR COLLEGE,26432,ALBANY,NY,ALBANY,36001,5,25245,1187
DIXIE STATE UNIVERSITY,12556,SAINT GEORGE,UT,WASHINGTON,49053,4,11193,1363
ALASKA PACIFIC UNIVERSITY,697,ANCHORAGE,AK,ANCHORAGE,02020,1,529,168
COVENANT COLLEGE,1253,LOOKOUT MOUNTAIN,GA,DADE,13083,1,989,264
SEATTLE INSTITUTE OF EAST ASIAN MEDICINE,63,SEATTLE,WA,KING,53033,1,34,29
THE SEATTLE SCHOOL OF THEOLOGY & PSYCHOLOGY,395,SEATTLE,WA,KING,53033,1,258,137
OKLAHOMA PANHANDLE STATE UNIVERSITY,1437,GOODWELL,OK,TEXAS,40139,2,1241,196
NORWICH UNIVERSITY,4792,NORTHFIELD,VT,WASHINGTON,50023,2,3933,859
OHIO NORTHERN UNIVERSITY,3573,ADA,OH,HARDIN,39065,2,2958,615
YESHIVATH BETH MOSHE,67,SCRANTON,PA,LACKAWANNA,42069,1,42,25
WEST VIRGINIA UNIVERSITY AT PARKERSBURG,3114,PARKERSBURG,WV,WOOD,54107,2,2818,296
LAGUNA COLLEGE OF ART AND DESIGN,1134,LAGUNA BEACH,CA,ORANGE,06059,1,834,300
WOODBURY UNIVERSITY,1529,BURBANK,CA,LOS ANGELES,06037,2,1225,304
CALIFORNIA STATE UNIVERSITY-DOMINGUEZ HILLS,19735,CARSON,CA,LOS ANGELES,06037,4,17977,1758
ADAMS STATE UNIVERSITY,3604,ALAMOSA,CO,ALAMOSA,08003,2,3114,490
JOHNSON & WALES UNIVERSITY-DENVER,1105,DENVER,CO,DENVER,08031,1,927,178
KUTZTOWN UNIVERSITY OF PENNSYLVANIA,9173,KUTZTOWN,PA,BERKS,42011,3,8195,978
LA ROCHE UNIVERSITY,1759,PITTSBURGH,PA,ALLEGHENY,42003,2,1401,358
THE UNIVERSITY OF TEXAS AT EL PASO,28092,EL PASO,TX,EL PASO,48141,5,25177,2915
MENLO COLLEGE,1101,ATHERTON,CA,SAN MATEO,06081,1,894,207
MANCHESTER UNIVERSITY,1764,NORTH MANCHESTER,IN,WABASH,18169,2,1415,349
EASTERN KENTUCKY UNIVERSITY,17518,RICHMOND,KY,MADISON,21151,4,14980,2538
LONGY SCHOOL OF MUSIC OF BARD COLLEGE,448,CAMBRIDGE,MA,MIDDLESEX,25017,1,255,193
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,25654,CAMBRIDGE,MA,MIDDLESEX,25017,4,11520,14134
RESEARCH COLLEGE OF NURSING,431,KANSAS CITY,MO,JACKSON,29095,1,380,51
SAINT AUGUSTINE'S UNIVERSITY,1162,RALEIGH,NC,WAKE,37183,1,899,263
HEBREW THEOLOGICAL COLLEGE,279,SKOKIE,IL,COOK,17031,1,193,86
PEIRCE COLLEGE,1430,PHILADELPHIA,PA,PHILADELPHIA,42101,2,1178,252
