ENSEMBL	X1_CTR_BC_2	X2_TGF_BC_4	X3_IR_BC_5	X4_CTR_BC_6	X5_TGF_BC_7	X6_IR_BC_12	X7_CTR_BC_13	X8_TGF_BC_14	X9_IR_BC_15
ENSG00000008382	117	145	102	134	131	74	98	180	129
ENSG00000008394	9998	5547	13377	9971	5515	12909	9257	5675	13912
ENSG00000008405	737	1099	513	735	911	520	665	817	473
ENSG00000008438	0	0	1	0	1	1	0	1	0
ENSG00000008441	5169	6403	3641	5424	5656	3519	4656	6030	3975
ENSG00000008513	3770	3398	2435	3930	3023	2336	3275	3434	2705
ENSG00000008516	9	22	7	15	26	8	7	17	8
ENSG00000008517	835	1369	457	887	1229	487	627	1299	530
ENSG00000008710	2526	4333	2304	2880	3234	2113	1686	4240	3311
ENSG00000008735	39	31	45	31	15	22	18	38	31
ENSG00000008838	1538	2043	1131	1651	1641	1067	1172	1919	1484
ENSG00000008853	463	791	351	587	539	328	402	692	474
ENSG00000008869	1039	1074	1083	1187	1033	1039	855	961	1213
ENSG00000008952	9458	7650	9837	9498	7467	9972	9289	6719	9689
ENSG00000008988	19432	21556	14833	21866	21284	14973	19532	18402	15155
ENSG00000009307	26794	24732	26476	27386	24131	25847	26471	22330	27687
ENSG00000009335	4779	4954	4656	4981	4598	4444	4313	4451	5067
ENSG00000009413	4815	3500	2887	5188	3618	2976	5094	3154	3248
ENSG00000009694	502	197	518	576	178	579	576	209	653
ENSG00000009709	0	0	0	0	0	0	0	0	0
ENSG00000009724	95	77	69	87	56	53	67	84	71
ENSG00000009765	7	6	6	12	6	8	3	11	17
ENSG00000009780	344	400	273	292	308	253	347	305	219
ENSG00000009790	5	11	9	12	15	1	0	12	4
ENSG00000009830	899	1317	896	978	1031	894	781	1100	1014
ENSG00000009844	2701	2865	2501	2697	2837	2459	2621	2425	2664
ENSG00000009950	17	9	8	20	20	11	5	17	13
ENSG00000009954	5022	5486	4281	5072	5145	4127	4960	5113	4170
ENSG00000010017	2791	2990	2261	2805	2917	2137	2658	2551	2396
ENSG00000010030	101	104	101	134	86	94	114	97	102
ENSG00000010072	527	551	447	540	487	390	487	443	528
ENSG00000010165	1092	1258	900	1032	1093	950	929	1162	1001
ENSG00000010219	657	829	595	761	732	559	708	787	589
ENSG00000010244	7720	8346	6133	8014	7584	5769	6993	7293	6570
ENSG00000010256	3069	4075	2876	3248	3284	2615	2266	4133	3417
ENSG00000010270	1627	1771	1460	1712	1542	1509	1647	1477	1638
ENSG00000010278	6998	4330	4969	6929	3871	4723	5734	4395	5008
ENSG00000010282	0	0	0	0	0	0	0	0	0
ENSG00000010292	2669	3470	1212	2623	3005	1236	2044	3153	1363
ENSG00000010295	1167	1504	897	1220	1140	927	885	1454	1190
ENSG00000010310	95	77	76	127	63	60	91	56	60
ENSG00000010318	112	135	58	105	98	70	94	93	97
ENSG00000010319	15	11	1	5	6	15	0	10	6
ENSG00000010322	3774	4697	3274	3834	3680	3132	2884	4400	3776
